[7/27/2023, 11:28:58 PM] Error invoking linkedin/UpdateAll API: Request failed with status code 404
[7/28/2023, 12:52:02 AM] Error invoking linkedin/UpdateAll API: Request failed with status code 400
[7/28/2023, 12:27:01 PM] Error invoking linkedin/UpdateAll API: Request failed with status code 400
[7/28/2023, 12:28:05 PM] Error invoking linkedin/UpdateAll API: Request failed with status code 400
[7/28/2023, 12:34:37 PM] Error invoking linkedin/UpdateAll API: Request failed with status code 400
[7/28/2023, 12:38:46 PM] Error invoking linkedin/UpdateAll API: Request failed with status code 400
[7/28/2023, 12:39:43 PM] Error invoking linkedin/UpdateAll API: socket hang up
[7/28/2023, 12:44:33 PM] Error invoking linkedin/UpdateAll API: socket hang up
[7/28/2023, 12:48:06 PM] Error invoking linkedin/UpdateAll API: socket hang up
[7/28/2023, 12:51:44 PM] Error invoking linkedin/UpdateAll API: Request failed with status code 400
[7/28/2023, 12:58:44 PM] Error invoking linkedin/UpdateAll API: Request failed with status code 400
[7/28/2023, 12:59:12 PM] Error invoking linkedin/UpdateAll API: Request failed with status code 400
[7/28/2023, 1:00:06 PM] Error invoking linkedin/UpdateAll API: Request failed with status code 400
[7/28/2023, 1:15:18 PM] Error invoking linkedin/UpdateAll API: Request failed with status code 400
[7/28/2023, 1:16:05 PM] Error invoking linkedin/UpdateAll API: socket hang up
[7/28/2023, 1:17:08 PM] Error invoking linkedin/UpdateAll API: socket hang up
[7/28/2023, 1:19:43 PM] Error invoking linkedin/UpdateAll API: socket hang up
[7/28/2023, 1:27:14 PM] Error invoking linkedin/UpdateAll API: socket hang up
[7/29/2023, 9:25:51 AM] Error invoking linkedin/UpdateAll API: socket hang up
[7/29/2023, 9:28:23 AM] Error invoking linkedin/UpdateAll API: connect ECONNREFUSED 127.0.0.1:3001
[7/29/2023, 9:29:02 AM] Error invoking linkedin/UpdateAll API: socket hang up
[7/29/2023, 9:33:37 AM] Error invoking linkedin/UpdateAll API: Request failed with status code 400
[7/29/2023, 9:35:45 AM] Error invoking linkedin/UpdateAll API: Request failed with status code 400
[7/29/2023, 9:44:01 AM] Error invoking linkedin/UpdateAll API: Request failed with status code 400
[7/29/2023, 9:45:04 AM] Error invoking linkedin/UpdateAll API: Request failed with status code 400
[7/29/2023, 9:48:30 AM] Error invoking linkedin/UpdateAll API: Request failed with status code 400
[7/29/2023, 9:49:59 AM] Error invoking linkedin/UpdateAll API: Request failed with status code 400
[7/29/2023, 9:51:37 AM] Error invoking linkedin/UpdateAll API: Request failed with status code 400
[7/29/2023, 10:05:40 AM] Error invoking linkedin/UpdateAll API: Request failed with status code 400
[7/29/2023, 10:10:38 AM] linkedin/UpdateAll API invoked successfully.
[7/29/2023, 10:13:13 AM] Error invoking linkedin/UpdateAll API: connect ECONNREFUSED 127.0.0.1:3001
[7/29/2023, 10:13:30 AM] Error invoking linkedin/UpdateAll API: socket hang up
[7/29/2023, 10:16:10 AM] Error invoking linkedin/UpdateAll API: socket hang up
[7/29/2023, 11:55:28 AM] Error invoking linkedin/UpdateAll API: Request failed with status code 400
[7/29/2023, 12:01:53 PM] Error invoking linkedin/UpdateAll API: socket hang up
[7/29/2023, 12:03:16 PM] Error invoking linkedin/UpdateAll API: socket hang up
[7/29/2023, 12:23:44 PM] Error invoking linkedin/UpdateAll API: socket hang up
[7/29/2023, 12:26:00 PM] Error invoking linkedin/UpdateAll API: socket hang up
